"Date","Price","Open","High","Low","Change %"
"12/31/2018","6.670","6.690","6.690","6.660","0.00%"
"12/28/2018","6.670","6.680","6.680","6.660","0.00%"
"12/27/2018","6.670","6.670","6.690","6.670","0.15%"
"12/26/2018","6.660","6.640","6.660","6.640","0.00%"
"12/24/2018","6.660","6.630","6.670","6.630","0.45%"
"12/21/2018","6.630","6.630","6.630","6.610","0.00%"
"12/20/2018","6.630","6.630","6.630","6.620","-0.30%"
"12/19/2018","6.650","6.690","6.690","6.650","-0.75%"
"12/18/2018","6.700","6.670","6.700","6.670","-0.15%"
"12/17/2018","6.710","6.670","6.710","6.670","0.45%"
"12/14/2018","6.680","6.690","6.720","6.680","-0.30%"
"12/13/2018","6.700","6.690","6.710","6.690","0.00%"
"12/12/2018","6.700","6.710","6.710","6.620","-0.15%"
"12/11/2018","6.710","6.710","6.750","6.680","0.00%"
"12/10/2018","6.710","6.710","6.720","6.700","0.30%"
"12/07/2018","6.690","6.730","6.750","6.690","-0.30%"
"12/06/2018","6.710","6.730","6.740","6.690","-0.15%"
"12/05/2018","6.720","6.740","6.740","6.700","-0.59%"
"12/04/2018","6.760","6.780","6.780","6.720","-0.15%"
"12/03/2018","6.770","6.750","6.770","6.740","0.30%"
"11/30/2018","6.750","6.800","6.800","6.730","-0.15%"
"11/29/2018","6.760","6.790","6.790","6.730","0.15%"
"11/28/2018","6.750","6.810","6.810","6.740","-0.30%"
"11/27/2018","6.770","6.800","6.800","6.770","-0.59%"
"11/26/2018","6.810","6.770","6.830","6.770","0.44%"
"11/22/2018","6.780","6.840","6.840","6.780","-0.73%"
"11/20/2018","6.830","6.900","6.900","6.820","-0.29%"
"11/19/2018","6.850","6.850","6.870","6.840","0.44%"
"11/16/2018","6.820","6.840","6.850","6.800","-0.29%"
"11/15/2018","6.840","6.880","6.910","6.840","-1.01%"
"11/14/2018","6.910","6.890","6.920","6.880","-0.29%"
"11/13/2018","6.930","6.920","6.930","6.890","0.14%"
"11/12/2018","6.920","6.940","6.940","6.900","-0.43%"
"11/09/2018","6.950","6.950","6.950","6.920","0.14%"
"11/06/2018","6.940","6.920","6.940","6.900","0.29%"
"11/05/2018","6.920","6.920","6.940","6.900","-0.57%"
"11/02/2018","6.960","6.930","6.960","6.910","0.43%"
"11/01/2018","6.930","6.950","6.960","6.930","-0.29%"
"10/31/2018","6.950","6.960","6.980","6.940","-0.14%"
"10/30/2018","6.960","6.950","6.960","6.940","0.14%"
"10/29/2018","6.950","7.010","7.010","6.930","0.00%"
"10/26/2018","6.950","6.950","6.960","6.930","-0.14%"
"10/25/2018","6.960","7.000","7.000","6.940","0.14%"
"10/24/2018","6.950","6.950","6.950","6.950","-0.14%"
"10/23/2018","6.960","6.950","7.000","6.950","0.14%"
"10/22/2018","6.950","6.900","6.950","6.900","0.00%"
"10/19/2018","6.950","6.950","6.960","6.950","0.43%"
"10/17/2018","6.920","6.930","6.930","6.900","-0.14%"
"10/16/2018","6.930","6.900","6.950","6.880","0.29%"
"10/15/2018","6.910","6.890","6.930","6.870","0.29%"
"10/12/2018","6.890","6.930","6.930","6.870","-0.72%"
